Index,Red,Green,Blue
0,255,255,255
1,255,240,240
2,255,225,225
3,255,210,210
4,255,195,195
5,255,180,180
6,255,165,165
7,255,150,150
8,255,135,135
9,255,120,120
10,255,105,105
11,255,90,90
12,255,75,75
13,255,60,60
14,255,45,45
15,255,30,30
16,255,15,15
17,255,15,15
18,255,31,31
19,255,47,47
20,255,63,63
21,255,79,79
22,255,95,95
23,255,111,111
24,255,127,127
25,255,143,143
26,255,159,159
27,255,175,175
28,255,191,191
29,255,207,207
30,255,223,223
31,255,239,239
32,255,255,255
33,240,247,255
34,225,239,255
35,210,232,255
36,195,224,255
37,180,216,255
38,165,209,255
39,150,201,255
40,135,193,255
41,120,186,255
42,105,178,255
43,90,170,255
44,75,163,255
45,60,155,255
46,45,147,255
47,30,140,255
48,15,132,255
49,29,139,255
50,43,146,255
51,57,153,255
52,71,160,255
53,85,168,255
54,99,175,255
55,113,182,255
56,127,189,255
57,142,197,255
58,156,204,255
59,170,211,255
60,184,218,255
61,198,226,255
62,212,233,255
63,226,240,255
64,255,255,255
65,255,240,240
66,255,225,225
67,255,210,210
68,255,195,195
69,255,180,180
70,255,165,165
71,255,150,150
72,255,135,135
73,255,120,120
74,255,105,105
75,255,90,90
76,255,75,75
77,255,60,60
78,255,45,45
79,255,30,30
80,255,15,15
81,255,15,15
82,255,30,30
83,255,45,45
84,255,60,60
85,255,75,75
86,255,90,90
87,255,105,105
88,255,120,120
89,255,135,135
90,255,150,150
91,255,165,165
92,255,180,180
93,255,195,195
94,255,210,210
95,255,225,225
96,255,255,255
97,240,247,255
98,225,239,255
99,210,232,255
100,195,224,255
101,180,216,255
102,165,209,255
103,150,201,255
104,135,193,255
105,120,186,255
106,105,178,255
107,90,170,255
108,75,163,255
109,60,155,255
110,45,147,255
111,30,140,255
112,15,132,255
113,29,138,254
114,43,144,253
115,57,150,252
116,71,156,251
117,85,162,250
118,99,168,249
119,113,174,248
120,127,180,247
121,141,186,246
122,155,192,245
123,169,198,244
124,183,204,243
125,197,210,242
126,211,216,241
127,225,222,240
128,255,255,255
129,255,240,240
130,255,225,225
131,255,210,210
132,255,195,195
133,255,180,180
134,255,165,165
135,255,150,150
136,255,135,135
137,255,120,120
138,255,105,105
139,255,90,90
140,255,75,75
141,255,60,60
142,255,45,45
143,255,30,30
144,255,15,15
145,255,15,15
146,255,31,31
147,255,47,47
148,255,63,63
149,255,79,79
150,255,95,95
151,255,111,111
152,255,127,127
153,255,143,143
154,255,159,159
155,255,175,175
156,255,191,191
157,255,207,207
158,255,223,223
159,255,255,255
160,255,255,255
161,240,247,255
162,225,239,255
163,210,232,255
164,195,224,255
165,180,216,255
166,165,209,255
167,150,201,255
168,135,193,255
169,120,186,255
170,105,178,255
171,90,170,255
172,75,163,255
173,60,155,255
174,45,147,255
175,30,140,255
176,15,132,255
177,15,133,255
178,31,141,255
179,47,149,255
180,63,157,255
181,79,165,255
182,95,173,255
183,111,181,255
184,127,190,255
185,143,198,255
186,159,206,255
187,175,214,255
188,191,222,255
189,207,230,255
190,223,238,255
191,239,246,255
192,255,255,255
193,255,240,240
194,255,225,225
195,255,210,210
196,255,195,195
197,255,180,180
198,255,165,165
199,255,150,150
200,255,135,135
201,255,120,120
202,255,105,105
203,255,90,90
204,255,75,75
205,255,60,60
206,255,45,45
207,255,30,30
208,255,15,15
209,255,15,15
210,255,31,31
211,255,47,47
212,255,63,63
213,255,79,79
214,255,95,95
215,255,111,111
216,255,127,127
217,255,143,143
218,255,159,159
219,255,175,175
220,255,191,191
221,255,207,207
222,255,223,223
223,255,255,255
224,255,255,255
225,240,247,255
226,225,239,255
227,210,232,255
228,195,224,255
229,180,216,255
230,165,209,255
231,150,201,255
232,135,193,255
233,120,186,255
234,105,178,255
235,90,170,255
236,75,163,255
237,60,155,255
238,45,147,255
239,30,140,255
240,15,132,255
241,15,133,255
242,31,141,255
243,47,149,255
244,63,157,255
245,79,165,255
246,95,173,255
247,111,181,255
248,127,190,255
249,143,198,255
250,159,206,255
251,175,214,255
252,191,222,255
253,207,230,255
254,223,238,255
255,239,246,255
